Date,Flag,Category,Source,Target,Title,URL,Summary,Summary_X
"Thu, 16 Apr 2026 10:03:23 +0000",,,QCR,,PsiQuantum Partners with University of Tokyo and Mitsubishi Chemical for Japanese Workforce Training,https://quantumcomputingreport.com/psiquantum-partners-with-university-of-tokyo-and-mitsubishi-chemical-for-japanese-workforce-training/,"<p>PsiQuantum, the University of Tokyo, and Mitsubishi Chemical Corporation have announced a strategic partnership to develop a structured education and training program for Japan’s quantum workforce. The initiative, supported by the Japanese government’s New Energy and Industrial Technology Develop",
"Wed, 15 Apr 2026 22:10:50 +0000",,,QCR,,Quantum eMotion and Krown Technologies Form Exclusive Alliance for Quantum-Secure Crypto Infrastructure,https://quantumcomputingreport.com/quantum-emotion-and-krown-technologies-form-exclusive-alliance-for-quantum-secure-crypto-infrastructure/,<p>Quantum eMotion Corp. (NYSE American: QNC) and Krown Technologies have entered into a mutual exclusive strategic partnership to integrate quantum-secure technologies across the global cryptocurrency ecosystem. The agreement establishes Quantum eMotion (QeM) as the sole provider of quantum-based s,
"Fri, 17 Apr 2026 11:16:21 +0000",,,QuantumInsider,,Aalto Team Reports New Algorithm Tackles Quasicrystal Calculations Beyond Classical Limits,https://thequantuminsider.com/2026/04/17/aalto-team-reports-new-algorithm-tackles-quasicrystal-calculations-beyond-classical-limits/,"<a href=""https://thequantuminsider.com/2026/04/17/aalto-team-reports-new-algorithm-tackles-quasicrystal-calculations-beyond-classical-limits/"" rel=""nofollow"" title=""Aalto Team Reports New Algorithm Tackles Quasicrystal Calculations Beyond Classical Limits""><img alt=""aalto"" class=""webfeedsFeaturedVis",
"Fri, 17 Apr 2026 10:54:25 +0000",,,QuantumInsider,,"­C12 Unveils Roadmap, Targets Useful Fault-tolerant Quantum Computing by 2033",https://thequantuminsider.com/2026/04/17/c12-unveils-roadmap-targets-useful-fault-tolerant-quantum-computing-by-2033/,"<a href=""https://thequantuminsider.com/2026/04/17/c12-unveils-roadmap-targets-useful-fault-tolerant-quantum-computing-by-2033/"" rel=""nofollow"" title=""­C12 Unveils Roadmap, Targets Useful Fault-tolerant Quantum Computing by 2033""><img alt=""C12"" class=""webfeedsFeaturedVisual wp-post-image"" height=""606",
"Fri, 17 Apr 2026 10:32:18 +0000",,,QuantumInsider,,Overview of 10+ Quantum Companies in Germany – 2026,https://thequantuminsider.com/2026/04/17/quantum-computing-companies-in-germany/,"<a href=""https://thequantuminsider.com/2026/04/17/quantum-computing-companies-in-germany/"" rel=""nofollow"" title=""Overview of 10+ Quantum Companies in Germany &#8211; 2026""><img alt=""German Quantum Companies - 2026"" class=""webfeedsFeaturedVisual wp-post-image"" height=""654"" src=""https://thequantuminsi",
"Fri, 17 Apr 2026 08:36:06 +0000",,,QuantumInsider,,Vexlum and Menlo Systems Partner on Optical Clock Technology,https://thequantuminsider.com/2026/04/17/vexlum-menlo-optical-clock-collaboration/,"<a href=""https://thequantuminsider.com/2026/04/17/vexlum-menlo-optical-clock-collaboration/"" rel=""nofollow"" title=""Vexlum and Menlo Systems Partner on Optical Clock Technology""><img alt=""Group photo from VEQTOR kick-off meeting"" class=""webfeedsFeaturedVisual wp-post-image"" height=""427"" src=""https://",
"Fri, 17 Apr 2026 07:36:51 +0000",,,QuantumInsider,,Qclairvoyance Quantum Labs Achieves Chemically Accurate Molecular Simulations on IQM Quantum Hardware,https://thequantuminsider.com/2026/04/17/qclairvoyance-quantum-labs-achieves-chemically-accurate-molecular-simulations-on-iqm-quantum-hardware/,"<a href=""https://thequantuminsider.com/2026/04/17/qclairvoyance-quantum-labs-achieves-chemically-accurate-molecular-simulations-on-iqm-quantum-hardware/"" rel=""nofollow"" title=""Qclairvoyance Quantum Labs Achieves Chemically Accurate Molecular Simulations on IQM Quantum Hardware""><img alt="""" class=""we",
"Fri, 17 Apr 2026 07:26:58 +0000",,,QuantumInsider,,SDT and IonQ Partner to Bring Trapped-Ion Quantum Power to the QuREKA Platform,https://thequantuminsider.com/2026/04/17/sdt-and-ionq-partner-to-bring-trapped-ion-quantum-power-to-the-qureka-platform/,"<a href=""https://thequantuminsider.com/2026/04/17/sdt-and-ionq-partner-to-bring-trapped-ion-quantum-power-to-the-qureka-platform/"" rel=""nofollow"" title=""SDT and IonQ Partner to Bring Trapped-Ion Quantum Power to the QuREKA Platform""><img alt=""Qureka"" class=""webfeedsFeaturedVisual wp-post-image"" heig",
"Thu, 16 Apr 2026 16:24:53 +0000",,,QuantumInsider,,Alice & Bob Expands Workforce to 251 Employees,https://thequantuminsider.com/2026/04/16/alice-and-bob-workforce-expansion/,"<a href=""https://thequantuminsider.com/2026/04/16/alice-and-bob-workforce-expansion/"" rel=""nofollow"" title=""Alice &amp; Bob Expands Workforce to 251 Employees""><img alt=""Alice &amp; Bob logo on plain white background"" class=""webfeedsFeaturedVisual wp-post-image"" height=""371"" src=""https://thequantumi",
"Thu, 16 Apr 2026 16:20:06 +0000",,,QuantumInsider,,Arqit Named Scaleup Partner by Tomorrow Street,https://thequantuminsider.com/2026/04/16/tomorrow-street-arqit-quantum-security-portfolio/,"<a href=""https://thequantuminsider.com/2026/04/16/tomorrow-street-arqit-quantum-security-portfolio/"" rel=""nofollow"" title=""Arqit Named Scaleup Partner by Tomorrow Street""><img alt=""Arqit logo on black background"" class=""webfeedsFeaturedVisual wp-post-image"" height=""794"" src=""https://thequantuminside",
"Thu, 16 Apr 2026 15:20:32 +0000",,,QuantumInsider,,The Next Cyber Threat Isn’t Coming. It’s Waiting,https://thequantuminsider.com/2026/04/16/the-next-cyber-threat-isnt-coming-its-waiting/,"<a href=""https://thequantuminsider.com/2026/04/16/the-next-cyber-threat-isnt-coming-its-waiting/"" rel=""nofollow"" title=""The Next Cyber Threat Isn’t Coming. It’s Waiting""><img alt=""Vanderbilt"" class=""webfeedsFeaturedVisual wp-post-image"" height=""734"" src=""https://thequantuminsider.com/wp-content/uplo",
"Thu, 16 Apr 2026 14:43:54 +0000",,,QuantumInsider,,Illinois Quantum Park Appoints Oscar Bedolla as Chief Strategy Officer,https://thequantuminsider.com/2026/04/16/illinois-quantum-microelectronics-park-oscar-bedolla-cso/,"<a href=""https://thequantuminsider.com/2026/04/16/illinois-quantum-microelectronics-park-oscar-bedolla-cso/"" rel=""nofollow"" title=""Illinois Quantum Park Appoints Oscar Bedolla as Chief Strategy Officer ""><img alt=""IQMP logo on plain white background"" class=""webfeedsFeaturedVisual wp-post-image"" heig",
"Tue, 14 Apr 2026 13:00:45 +0000",,,IQT,,IQT The Quantum Dragon Podcast Episode 83 – This podcast has an open architecture.,https://www.insidequantumtechnology.com/news-archive/iqt-the-quantum-dragon-podcast-episode-83-this-podcast-has-an-open-architecture/,"<p>I spoke with Matt Rijlaarsdam, CEO and Co-Founder of QuantWare, about trying to be the Intel of quantum, mass production versus custom foundry and packaging services, the advantages of a 3D chip architecture, a bold claim about “exponentially more compute power per watt and per dollar,” the upper",
"Fri, 10 Apr 2026 13:00:20 +0000",,,IQT,,“We are trying to scare the daylights out of you…,https://www.insidequantumtechnology.com/news-archive/we-are-trying-to-scare-the-daylights-out-of-you/,"<p>The Quantum Dragon is guilty from time to time of taking the words of his godfather, Dr. Bob Sutor, a little too literally. This LinkedIn post was meant to be a 10-point commentary on recent news involving the revised vulnerability of RSA/ECC cryptosystems, NOT a call-to-action to just start scar",
"Fri, 03 Apr 2026 13:00:36 +0000",,,IQT,,Need a marketing/social media/PR intern?,https://www.insidequantumtechnology.com/news-archive/need-a-marketing-social-media-pr-intern/,"<p>Erik Anspach asked nicely to share that Nadhira Attaya Nasution, a second-year Communication and Media student at Erasmus University Rotterdam, is seeking an internship in marketing, social media, or PR. Mr. Anspach is entertaining The Quantum Dragon’s suggestions for Q+AI and PQC+IQT, so this is",
"Wed, 01 Apr 2026 13:00:58 +0000",,,IQT,,Oh-So-Easy Circuit Cutting & Knitting,https://www.insidequantumtechnology.com/news-archive/oh-so-easy-circuit-cutting-knitting/,"<p>Following “Classiq Quantum AI is self-correcting.” and “I, for one, welcome our new AI overlord.”, I came up with one more idea to see how far I can push Skynet here. Since the AI can bypass safeguards and/or limitations and execute AI-generated code on an external platform, can we do that with m",
"Fri, 27 Mar 2026 13:00:46 +0000",,,IQT,,“I’m on a boat.”,https://www.insidequantumtechnology.com/news-archive/im-on-a-boat/,"<p>The Quantum Dragon saw Prof. Michael Biercuk declare “I’m on a boat!”, so he grabbed a couple of buddies, chartered a yacht, installed Q-CTRL’s Ironstone Opal Maritime quantum navigation system, and set sail for The Lonely Island (NSFW). Like Q-CTRL’s results, their dance moves are looking pretty",
"Tue, 24 Mar 2026 13:00:17 +0000",,,IQT,,"IQT The Quantum Dragon Podcast Episode 82 – This podcast is out of control. But, fortunately, ….",https://www.insidequantumtechnology.com/news-archive/iqt-the-quantum-dragon-podcast-episode-82-this-podcast-is-out-of-control-but-fortunately/,"<p>I asked Mr. Carman about teaming up with QuantWare and Q-CTRL to offer the Quantum Utility Block (QUB), Qblox Qubit Lab, Oxford Quantum Circuits’ (OQC) logical qubits, market leadership, physical footprint and power consumption, and the strategy behind hosting webinars. I apologize for some minor",
"Fri, 20 Mar 2026 13:00:11 +0000",,,IQT,,A Different Kind of Quantum/AI Synergy,https://www.insidequantumtechnology.com/news-archive/a-different-kind-of-quantum-ai-synergy/,"<p>We’re increasingly talking about quantum computing for AI and AI for quantum computing, but in “More Quantum/AI Synergy,” Russ Fein writes about the role of atomic clocks in AI. The Quantum Dragon intends to ask him more about it at Q+AI 2026 (3.0): Uncovering the Coming Wave of Quantum + AI, whi",
"Fri, 13 Mar 2026 13:00:35 +0000",,,IQT,,Behold IBM’s newest processor: the Eagle!,https://www.insidequantumtechnology.com/news-archive/behold-ibms-newest-processor-the-eagle/,"<p>Ashikul Islam ifty announced “IBM’s Latest Breakthrough,” its “new processor, named ‘Eagle.’” Dr. Bob Sutor was quick to point out in the comments that eagles have been flying since 2021. The Quantum Dragon laughed up this legendary “AI slop” with his eagle friend, but his newer heron and nightha",
"Fri, 17 Apr 2026 13:15:56 GMT",,,Bloomberg,,Nvidia Helps Make Quantum Computing CEO a Billionaire in Days,https://www.bloomberg.com/news/articles/2026-04-17/nvidia-helps-make-quantum-computing-ceo-a-billionaire-in-days,The founder of quantum computing startup Xanadu Quantum Technologies Ltd. became a billionaire in a matter of days after Nvidia Corp. threw its weight behind the emerging technology.,
2026-04-16T17:59:44Z,,Paper,arXiv,,Heuristic Search for Minimum-Distance Upper-Bound Witnesses in Quantum APM-LDPC Codes,https://arxiv.org/abs/2604.15307v1,This paper investigates certified upper bounds on the minimum distance of an explicit family of Calderbank-Shor-Steane quantum LDPC codes constructed from affine permutation matrices. All codes considered here have active Tanner graphs of girth eight. Rather than attempting to prove a general lower ,
2026-04-16T17:57:19Z,,Paper,arXiv,,Ensembles of random quantum states tunable from volume law to area law,https://arxiv.org/abs/2604.15300v1,"A standard approach to generate random pure quantum states relies on sampling from the Haar measure. However, the entanglement properties of such states present a fundamental challenge for their general applicability. Here, we introduce the $σ$-ensembles $\unicode{x2013}$ a family of random quantum ",
2026-04-16T17:57:08Z,,Paper,arXiv,,Super-Constant Weight Dicke States in Constant Depth Without Fanout,https://arxiv.org/abs/2604.15298v1,"An $n$-qubit Dicke state of weight $k$, is the uniform superposition over all $n$-bit strings of Hamming weight $k$. Dicke states are an entanglement resource with important practical applications in the NISQ era and, for instance, play a central role in Decoded Quantum Interferometry (DQI). Further",
2026-04-16T17:45:58Z,,Paper,arXiv,,Generation of Schrödinger cat-like states via degenerate dual pump spontaneous four-wave mixing in a $χ^{(3)}$ microring resonator,https://arxiv.org/abs/2604.15275v1,"We theoretically investigate the generation of non-Gaussian quantum states, specifically Schrödinger cat-like states (SCLSs), via degenerate dual-pump spontaneous four-wave mixing in a $χ^{(3)}$-based microring resonator. By introducing a unitary transformation that exactly decouples the self-phase ",
2026-04-16T17:45:24Z,,Paper,arXiv,,How Embeddings Shape Graph Neural Networks: Classical vs Quantum-Oriented Node Representations,https://arxiv.org/abs/2604.15273v1,"Node embeddings act as the information interface for graph neural networks, yet their empirical impact is often reported under mismatched backbones, splits, and training budgets. This paper provides a controlled benchmark of embedding choices for graph classification, comparing classical baselines w",
2026-04-16T17:41:16Z,,Paper,arXiv,,Cloning is as Hard as Learning for Stabilizer States,https://arxiv.org/abs/2604.15269v1,"The impossibility of simultaneously cloning non-orthogonal states lies at the foundations of quantum theory. Even when allowing for approximation errors, cloning an arbitrary unknown pure state requires as many initial copies as needed to fully learn the state. Rather than arbitrary unknown states, ",
2026-04-16T17:40:33Z,,Paper,arXiv,,Assembling Extensive Quantum Fisher Information in Stabilizer Systems,https://arxiv.org/abs/2604.15268v1,"We introduce a systematic framework to construct nonlocal observables with extensive quantum Fisher information (QFI) density in stabilizer codes. The construction maps stabilizer generators to dual Ising spins whose correlators equal string order parameters, converting hidden nonlocal order into a ",
2026-04-16T17:38:43Z,,Paper,arXiv,,Computing the free energy of quantum Coulomb gases and molecules via quantum Gibbs sampling,https://arxiv.org/abs/2604.15263v1,"We develop a quantum algorithm for estimating the free energy as well as the total Gibbs state of interacting quantum Coulomb gases and molecular systems in dimensions $d \in \{2,3\}$ at finite temperature. These systems lie beyond the reach of existing methods due to their singular interactions and",
2026-04-16T17:35:49Z,,Paper,arXiv,,General framework for anticoncentration and linear cross-entropy benchmarking in photonic quantum advantage experiments,https://arxiv.org/abs/2604.15258v1,"Photonic architectures are one of the leading platforms for demonstrating quantum computational advantage, with Boson Sampling and Gaussian Boson Sampling as the primary schemes. Yet, we lack for these photonic primitives a systematic theoretical understanding of linear cross-entropy benchmarking (L",
2026-04-16T17:24:25Z,,Paper,arXiv,,IQP circuits for 2-Forrelation,https://arxiv.org/abs/2604.15248v1,The 2-Forrelation problem provides an optimal separation between classical and quantum query complexity and is also the problem used for separating $\mathsf{BQP}$ and $\mathsf{PH}$ relative to an oracle. A natural question is therefore to ask what are the minimal quantum resources needed to solve th,
2026-04-16T17:07:18Z,,Paper,arXiv,,Universal quantum state purification with energy-preserving operations,https://arxiv.org/abs/2604.15228v1,"Quantum state purification, which operates not by identifying and correcting specific errors but by repeatedly projecting multiple noisy copies onto special subspaces, provides a syndrome-free alternative to quantum error correction. Existing purification protocols, however, generally assume unconst",
2026-04-16T16:45:02Z,,Paper,arXiv,,Optimal algorithmic complexity of inference in quantum kernel methods,https://arxiv.org/abs/2604.15214v1,"Quantum kernel methods are among the leading candidates for achieving quantum advantage in supervised learning. A key bottleneck is the cost of inference: evaluating a trained model on new data requires estimating a weighted sum $\sum_{i=1}^N α_i k(x,x_i)$ of $N$ kernel values to additive precision ",
2026-04-16T16:44:35Z,,Paper,arXiv,,Simulation of quantum annealing on a semiconducting cQED device for Multiple Hypothesis Tracking (MHT) benchmark,https://arxiv.org/abs/2604.15213v1,We explore the expected performance of a semiconducting spin cQED quantum processor for Multiple Hypothesis Tracking (MHT) algorithm via a quantum annealing procedure. From two different benchmarking scenarios we evaluate this type of quantum annealer on a quantum emulator in which we incorporated b,
2026-04-16T16:40:43Z,,Paper,arXiv,,Variational quantum state preparation within an entangle-rotate circuit framework for quantum-enhanced metrology in noisy systems,https://arxiv.org/abs/2604.15209v1,We investigate the generation of quantum states for precision metrology in noisy two-level systems. These states are obtained by optimizing a variational quantum circuit to maximize the quantum Fisher information (QFI) of the output state for a given decoherence rate and interaction Hamiltonian. The,
2026-04-16T15:59:50Z,,Paper,arXiv,,Quantum Metropolis-Hastings via Penalised Qubitized Walks: Spectral Filtering and Circuit Implementation,https://arxiv.org/abs/2604.15179v1,"The Metropolis-Hastings algorithm is a cornerstone of Markov Chain Monte Carlo methods, underpinning a wide range of applications in computational physics, Bayesian inference, and machine learning. Quantum variants of Metropolis-Hastings promise accelerated mixing through quantum walks, but their pr",
2026-04-16T15:59:38Z,,Paper,arXiv,,Minimum energy and photon content in PT symmetric metamaterials,https://arxiv.org/abs/2604.15178v1,"In the context of waves in space time modulated materials, we ask two questions how much energy does it cost to break time reversal symmetry and transition to a PT symmetric state. and can a PT symmetric system have a ground state in the sense that no photons are present. Our model system is a perio",
2026-04-16T15:41:33Z,,Paper,arXiv,,Coherent control of optomechanical entanglement and steering via dual parametric amplification,https://arxiv.org/abs/2604.15162v1,"We propose a coherent-control scheme for engineering quantum correlations in a cavity optomechanical (COM) system consisting of a driven optical cavity with an embedded nonlinear medium and a membrane, assisted by a coherent feedback loop. The nonlinear medium and the membrane are pumped to implemen",
2026-04-16T15:14:16Z,,Paper,arXiv,,A minimal implementation of Yang-Mills theory on a digital quantum computer,https://arxiv.org/abs/2604.15132v1,"We present a minimal implementation of SU($N$) pure Yang-Mills theory in $3+1$ dimensions for digital quantum simulation, designed to enable quantum advantage. Building on the orbifold lattice simulation protocol with logarithmic scaling in the local Hilbert-space truncation, we introduce further si",
2026-04-16T15:04:53Z,,Paper,arXiv,,Constraints on phantom codes from automorphism group bounds,https://arxiv.org/abs/2604.15111v1,"Executing a logical quantum circuit fault-tolerantly incurs a large spacetime overhead. Recent work has proposed and investigated phantom codes, defined by the property that every in-block logical $\mathrm{CNOT}$ circuit can be implemented with a physical permutation, a property that has the potenti",
2026-04-16T15:04:21Z,,Paper,arXiv,,General Static Solutions of the SU(2) Yang-Mills Equations from a Spin Vector Potential,https://arxiv.org/abs/2604.15110v1,"We present a systematic study of static solutions to the source-free SU(2) Yang-Mills equations, in which the gauge potential explicitly depends on spin operators. By employing the \emph{vector potential extraction approach} (VPEA) -- which requires the total angular momentum operator (orbital plus ",
2026-04-16T14:59:22Z,,Paper,arXiv,,Low-rank geometry of two-qubit gates,https://arxiv.org/abs/2604.15102v1,"We present a framework based on the determinantal geometry of two-qubit gates. Combining the Weyl chamber representation with operator Schmidt theory, we interpret gate synthesis as a distance problem to determinantal varieties. This gives an operational geometry to the Weyl chamber, quantifying non",
2026-04-16T14:57:58Z,,Paper,arXiv,,O3LS: Optimizing Lattice Surgery via Automatic Layout Searching and Loose Scheduling,https://arxiv.org/abs/2604.15099v1,"Toward the large-scale, practical realization of quantum computing, quantum error correction is essential. Among various quantum error-correcting codes, the surface code stands out as a leading candidate, and lattice surgery based on surface codes has emerged as a promising technique for fault-toler",
2026-04-16T14:53:41Z,,Paper,arXiv,,QLLVM: A Scalable Quantum-Classical Co-Compilation Framework based on LLVM,https://arxiv.org/abs/2604.15094v1,"To address the urgent need in the NISQ era for high-performance, scalable quantum compilers and to advance the integration of classical and quantum computing, we present QLLVM, an advanced Quantum-Classical co-compilation framework built on LLVM. To our knowledge, QLLVM delivers an end-to-end, LLVM-",
2026-04-16T14:50:53Z,,Paper,arXiv,,Quantum instanton approach to metastable collective spins,https://arxiv.org/abs/2604.15091v1,Collective spin systems -- spin ensembles coupled to a common reservoir and effectively described by a single macrospin -- play an important role in both atomic and solid-state physics. Their intrinsic nonlinearity gives rise to multiple long-lived metastable states that ultimately relax to a unique,
2026-04-16T14:16:59Z,,Paper,arXiv,,"Hardware Validation of DAGI via a Modular ""Ridge"" Signature and High-Order Synergistic Information",https://arxiv.org/abs/2604.15051v1,"We report a hardware validation of the DAGI (Directed Acyclic Graph Information) framework on IBM Quantum hardware using a small, controlled experiment whose ideal output distribution is constrained to a low-dimensional modular manifold (a ""ridge""). For two $n$-bit registers $(u,v)$ with $n=4$ (modu",
2026-04-16T14:12:13Z,,Paper,arXiv,,GAT-QNN: Genetic Algorithm-Based Training of Hybrid Quantum Neural Networks,https://arxiv.org/abs/2604.15048v1,"Hybrid Quantum Neural Networks (HQNNs) combine classical learning with parameterized quantum circuits, but their practical performance is often limited by (i) the noise of Noisy Intermediate-Scale Quantum (NISQ) devices and (ii) the large, discrete design space of quantum circuit architectures. More",
2026-04-16T14:10:29Z,,Paper,arXiv,,"SyQMA: A memory-efficient, symbolic and exact universal simulator for quantum error correction",https://arxiv.org/abs/2604.15043v1,"The classical simulation of universal quantum circuits is crucial both fundamentally and practically for quantum computation. We propose SyQMA, a simulator with several convenient features, particularly suited for quantum error correction (QEC). SyQMA simulates universal quantum circuits with incohe",
2026-04-16T14:01:30Z,,Paper,arXiv,,A NISQ-friendly Coined Quantum Walk Algorithm for Chaos-based Cryptographic Applications,https://arxiv.org/abs/2604.15030v1,"We present a novel lackadaisical alternating quantum walk (LAQW) algorithm whose circuit depth scales as $\mathcal{O}(n^2+nt)$ for a $n\times n$ lattice over $t$ time steps. We show that this is a significant depth reduction compared to the existing controlled alternating quantum walk (CAQW) model, ",
2026-04-16T13:59:53Z,,Paper,arXiv,,Entanglement quantification with randomized measurements is maximally difficult,https://arxiv.org/abs/2604.15029v1,"The certification of quantum systems is essential for emerging quantum technologies, particularly in quantum communication, networks, and distributed computing, where maintaining a common reference frame across distant nodes poses significant challenges. Reference frame independent approaches, such ",
2026-04-16T13:54:29Z,,Paper,arXiv,,Hidden Quantum Advantage near the Decoding Threshold of Decoded Quantum Interferometry,https://arxiv.org/abs/2604.15025v1,"Where is the true boundary of the quantum advantage region of decoded quantum interferometry (DQI)? The best existing answer is provided by Theorem 10.1 of Jordan et al., yet we show that this answer systematically underestimates the extent of quantum advantage. On the standard partial-win LDPC benc",
2026/04/17,,,IonQ,,"IonQ Achieves Key Photonic Interconnect Milestone, Demonstrating Networked Quantum Systems Using EntanglementApril 14, 20262026-04-14IonQ Press ReleaseRead more",https://ionq.com/news/ionq-achieves-key-photonic-interconnect-milestone-demonstrating-networked-quantum-systems-using-entanglement,,
2026/04/17,,,IonQ,,"IonQ Selected for DARPA’s Heterogeneous Architectures for Quantum (HARQ) ProgramApril 14, 20262026-04-14IonQ Press ReleaseRead more",https://ionq.com/news/ionq-selected-for-darpas-heterogeneous-architectures-for-quantum-harq-program,,
2026/04/17,,,IonQ,,"IonQ and University of Maryland Expand QLab Collaboration to Advance Quantum Networking and ResearchApril 13, 20262026-04-13IonQ Press ReleaseRead more",https://ionq.com/news/ionq-and-university-of-maryland-expand-qlab-collaboration-to-advance-quantum-networking-and-research,,
2026/04/17,,,IonQ,,"IonQ Partners With Qollab’s Creative Challenge, Advancing Creative Quantum InnovationMarch 18, 20262026-03-18IonQ Press ReleaseRead more",https://ionq.com/news/ionq-partners-with-qollabs-creative-challenge-advancing-creative-quantum-innovation,,
2026/04/17,,,IonQ,,"IonQ and KISTI Forge Strategic Alliance to Advance Quantum-HPC Hybrid Technologies in South Korea with NVIDIA NVQLinkMarch 16, 20262026-03-16IonQ Press ReleaseRead more",https://ionq.com/news/ionq-and-kisti-forge-strategic-alliance-to-advance-quantum-hpc-hybrid-technologies-in-south-korea-with-nvidia-nvqlink,,
2026/04/17,,,IonQ,,"IonQ and the University of Cambridge Announce Landmark Agreement to Establish Innovation Centre for Quantum Technology CommercializationMarch 11, 20262026-03-11IonQ Press ReleaseRead more",https://ionq.com/news/ionq-and-the-university-of-cambridge-announce-landmark-agreement-to-establish-innovation-centre-for-quantum-technology-commercialization,,
